game_pk,game_date,home_team,away_team,home_moneyline,away_moneyline,home_decimal,away_decimal,source_match_ts,hours_delta,source_href
777775,2025-05-25,Tampa Bay Rays,Toronto Blue Jays,-114,-111,1.88,1.9,2025-05-25 17:40:00+00:00,0.0,/baseball-odds/usa-mlb/tampa-bay-toronto-2025-05-25/1150148
777776,2025-05-25,Pittsburgh Pirates,Milwaukee Brewers,129,-172,2.29,1.58,2025-05-25 17:35:00+00:00,0.0,/baseball-odds/usa-mlb/pittsburgh-milwaukee-2025-05-25/1148806
777777,2025-05-25,Chicago White Sox,Texas Rangers,-104,-119,1.96,1.84,2025-05-25 18:10:00+00:00,0.0,/baseball-odds/usa-mlb/white-sox-texas-2025-05-25/1150150
777778,2025-05-25,Washington Nationals,San Francisco Giants,113,-145,2.13,1.69,2025-05-25 17:35:00+00:00,0.0,/baseball-odds/usa-mlb/washington-san-francisco-2025-05-25/1148805
777779,2025-05-25,Cincinnati Reds,Chicago Cubs,109,-137,2.09,1.73,2025-05-25 17:40:00+00:00,0.0,/baseball-odds/usa-mlb/cincinnati-cubs-2025-05-25/1148808
777780,2025-05-25,Detroit Tigers,Cleveland Guardians,-323,252,1.31,3.52,2025-05-25 15:35:00+00:00,0.0,/baseball-odds/usa-mlb/detroit-cleveland-2025-05-25/1148804
777783,2025-05-25,Atlanta Braves,San Diego Padres,-156,121,1.64,2.21,2025-05-25 20:10:00+00:00,0.0,/baseball-odds/usa-mlb/atlanta-san-diego-2025-05-25/1148813
777785,2025-05-25,Boston Red Sox,Baltimore Orioles,-137,107,1.73,2.07,2025-05-25 17:35:00+00:00,0.0,/baseball-odds/usa-mlb/boston-baltimore-2025-05-25/1148807
777756,2025-05-26,San Diego Padres,Miami Marlins,-159,123,1.63,2.23,2025-05-27 00:40:00+00:00,0.0,/baseball-odds/usa-mlb/san-diego-miami-2025-05-27/1148825
777757,2025-05-26,Chicago Cubs,Colorado Rockies,-323,232,1.31,3.32,2025-05-26 18:20:00+00:00,0.0,/baseball-odds/usa-mlb/cubs-colorado-2025-05-26/1148818
777758,2025-05-26,New York Mets,Chicago White Sox,-303,208,1.33,3.08,2025-05-26 20:10:00+00:00,0.0,/baseball-odds/usa-mlb/ny-mets-white-sox-2025-05-26/1148821
777759,2025-05-26,Texas Rangers,Toronto Blue Jays,-139,123,1.72,2.23,2025-05-26 20:05:00+00:00,0.0,/baseball-odds/usa-mlb/texas-toronto-2025-05-26/1148820
777760,2025-05-26,Kansas City Royals,Cincinnati Reds,-119,-109,1.84,1.92,2025-05-26 20:10:00+00:00,0.0,/baseball-odds/usa-mlb/kansas-city-cincinnati-2025-05-26/1148822
777761,2025-05-26,Arizona Diamondbacks,Pittsburgh Pirates,-196,149,1.51,2.49,2025-05-27 00:10:00+00:00,0.0,/baseball-odds/usa-mlb/arizona-pittsburgh-2025-05-27/1148824
777762,2025-05-26,Tampa Bay Rays,Minnesota Twins,-115,-104,1.87,1.96,2025-05-26 23:05:00+00:00,0.0,/baseball-odds/usa-mlb/tampa-bay-minnesota-2025-05-27/1148823
