game_pk,game_date,home_team,away_team,home_moneyline,away_moneyline,source_url
823304,2026-05-09,San Diego Padres,St. Louis Cardinals,-144,120,https://fantasydata.com/mlb/san-diego-padres-odds
823468,2026-05-09,Philadelphia Phillies,Colorado Rockies,-191,160,https://fantasydata.com/mlb/colorado-rockies-odds
823792,2026-05-09,Milwaukee Brewers,New York Yankees,112,-133,https://fantasydata.com/mlb/milwaukee-brewers-odds
823869,2026-05-09,Miami Marlins,Washington Nationals,-159,135,https://fantasydata.com/mlb/miami-marlins-odds
823955,2026-05-09,Los Angeles Dodgers,Atlanta Braves,-185,154,https://fantasydata.com/mlb/atlanta-braves-odds
824115,2026-05-09,Kansas City Royals,Detroit Tigers,-135,113,https://fantasydata.com/mlb/detroit-tigers-odds
824444,2026-05-09,Cleveland Guardians,Minnesota Twins,-121,101,https://fantasydata.com/mlb/cleveland-guardians-odds
824523,2026-05-09,Cincinnati Reds,Houston Astros,-156,131,https://fantasydata.com/mlb/cincinnati-reds-odds
824606,2026-05-09,Chicago White Sox,Seattle Mariners,106,-125,https://fantasydata.com/mlb/chicago-white-sox-odds
824847,2026-05-09,Baltimore Orioles,Athletics,-122,103,https://fantasydata.com/mlb/athletics-odds
825089,2026-05-09,Arizona Diamondbacks,New York Mets,-111,-107,https://fantasydata.com/mlb/arizona-diamondbacks-odds
822819,2026-05-10,Toronto Blue Jays,Los Angeles Angels,-111,-107,https://fantasydata.com/mlb/los-angeles-angels-odds
822902,2026-05-10,Texas Rangers,Chicago Cubs,-123,104,https://fantasydata.com/mlb/chicago-cubs-odds
823221,2026-05-10,San Francisco Giants,Pittsburgh Pirates,-126,107,https://fantasydata.com/mlb/pittsburgh-pirates-odds
823305,2026-05-10,San Diego Padres,St. Louis Cardinals,-127,108,https://fantasydata.com/mlb/san-diego-padres-odds
823463,2026-05-10,Philadelphia Phillies,Colorado Rockies,-314,252,https://fantasydata.com/mlb/colorado-rockies-odds
823793,2026-05-10,Milwaukee Brewers,New York Yankees,-118,-102,https://fantasydata.com/mlb/milwaukee-brewers-odds
823868,2026-05-10,Miami Marlins,Washington Nationals,-132,112,https://fantasydata.com/mlb/miami-marlins-odds
823954,2026-05-10,Los Angeles Dodgers,Atlanta Braves,-144,121,https://fantasydata.com/mlb/atlanta-braves-odds
824113,2026-05-10,Kansas City Royals,Detroit Tigers,-131,110,https://fantasydata.com/mlb/detroit-tigers-odds
824440,2026-05-10,Cleveland Guardians,Minnesota Twins,-162,136,https://fantasydata.com/mlb/cleveland-guardians-odds
824520,2026-05-10,Cincinnati Reds,Houston Astros,-113,-105,https://fantasydata.com/mlb/cincinnati-reds-odds
824605,2026-05-10,Chicago White Sox,Seattle Mariners,115,-138,https://fantasydata.com/mlb/chicago-white-sox-odds
824765,2026-05-10,Boston Red Sox,Tampa Bay Rays,-152,129,https://fantasydata.com/mlb/boston-red-sox-odds
824845,2026-05-10,Baltimore Orioles,Athletics,-109,-108,https://fantasydata.com/mlb/athletics-odds
825085,2026-05-10,Arizona Diamondbacks,New York Mets,-115,-105,https://fantasydata.com/mlb/arizona-diamondbacks-odds
822818,2026-05-11,Toronto Blue Jays,Tampa Bay Rays,-125,105,https://fantasydata.com/mlb/tampa-bay-rays-odds
822901,2026-05-11,Texas Rangers,Arizona Diamondbacks,-110,-108,https://fantasydata.com/mlb/arizona-diamondbacks-odds
823953,2026-05-11,Los Angeles Dodgers,San Francisco Giants,-198,164,https://fantasydata.com/mlb/los-angeles-dodgers-odds
824199,2026-05-11,Houston Astros,Seattle Mariners,127,-150,https://fantasydata.com/mlb/houston-astros-odds
824441,2026-05-11,Cleveland Guardians,Los Angeles Angels,-171,143,https://fantasydata.com/mlb/cleveland-guardians-odds
824844,2026-05-11,Baltimore Orioles,New York Yankees,131,-155,https://fantasydata.com/mlb/baltimore-orioles-odds
822817,2026-05-12,Toronto Blue Jays,Tampa Bay Rays,-101,-117,https://fantasydata.com/mlb/tampa-bay-rays-odds
822903,2026-05-12,Texas Rangers,Arizona Diamondbacks,-123,104,https://fantasydata.com/mlb/arizona-diamondbacks-odds
823385,2026-05-12,Pittsburgh Pirates,Colorado Rockies,-300,244,https://fantasydata.com/mlb/colorado-rockies-odds
823632,2026-05-12,New York Mets,Detroit Tigers,-149,125,https://fantasydata.com/mlb/detroit-tigers-odds
823712,2026-05-12,Minnesota Twins,Miami Marlins,-112,-107,https://fantasydata.com/mlb/miami-marlins-odds
823790,2026-05-12,Milwaukee Brewers,San Diego Padres,-145,123,https://fantasydata.com/mlb/milwaukee-brewers-odds
823951,2026-05-12,Los Angeles Dodgers,San Francisco Giants,-334,265,https://fantasydata.com/mlb/los-angeles-dodgers-odds
824197,2026-05-12,Houston Astros,Seattle Mariners,163,-195,https://fantasydata.com/mlb/houston-astros-odds
824442,2026-05-12,Cleveland Guardians,Los Angeles Angels,-134,113,https://fantasydata.com/mlb/cleveland-guardians-odds
824521,2026-05-12,Cincinnati Reds,Washington Nationals,-139,117,https://fantasydata.com/mlb/cincinnati-reds-odds
824604,2026-05-12,Chicago White Sox,Kansas City Royals,-103,-116,https://fantasydata.com/mlb/chicago-white-sox-odds
824764,2026-05-12,Boston Red Sox,Philadelphia Phillies,120,-142,https://fantasydata.com/mlb/boston-red-sox-odds
824843,2026-05-12,Baltimore Orioles,New York Yankees,114,-135,https://fantasydata.com/mlb/baltimore-orioles-odds
824927,2026-05-12,Atlanta Braves,Chicago Cubs,-122,103,https://fantasydata.com/mlb/atlanta-braves-odds
825011,2026-05-12,Athletics,St. Louis Cardinals,-160,132,https://fantasydata.com/mlb/athletics-odds
822815,2026-05-13,Toronto Blue Jays,Tampa Bay Rays,-146,123,https://fantasydata.com/mlb/tampa-bay-rays-odds
822900,2026-05-13,Texas Rangers,Arizona Diamondbacks,-105,-113,https://fantasydata.com/mlb/arizona-diamondbacks-odds
823386,2026-05-13,Pittsburgh Pirates,Colorado Rockies,-189,158,https://fantasydata.com/mlb/colorado-rockies-odds
823631,2026-05-13,New York Mets,Detroit Tigers,-118,100,https://fantasydata.com/mlb/detroit-tigers-odds
823710,2026-05-13,Minnesota Twins,Miami Marlins,110,-130,https://fantasydata.com/mlb/miami-marlins-odds
823791,2026-05-13,Milwaukee Brewers,San Diego Padres,-160,135,https://fantasydata.com/mlb/milwaukee-brewers-odds
823952,2026-05-13,Los Angeles Dodgers,San Francisco Giants,-252,208,https://fantasydata.com/mlb/los-angeles-dodgers-odds
824195,2026-05-13,Houston Astros,Seattle Mariners,115,-135,https://fantasydata.com/mlb/houston-astros-odds
824438,2026-05-13,Cleveland Guardians,Los Angeles Angels,-157,132,https://fantasydata.com/mlb/cleveland-guardians-odds
824519,2026-05-13,Cincinnati Reds,Washington Nationals,-180,151,https://fantasydata.com/mlb/cincinnati-reds-odds
824603,2026-05-13,Chicago White Sox,Kansas City Royals,-104,-115,https://fantasydata.com/mlb/chicago-white-sox-odds
824763,2026-05-13,Boston Red Sox,Philadelphia Phillies,-131,110,https://fantasydata.com/mlb/boston-red-sox-odds
824841,2026-05-13,Baltimore Orioles,New York Yankees,139,-165,https://fantasydata.com/mlb/baltimore-orioles-odds
824928,2026-05-13,Atlanta Braves,Chicago Cubs,115,-136,https://fantasydata.com/mlb/atlanta-braves-odds
825010,2026-05-13,Athletics,St. Louis Cardinals,-144,121,https://fantasydata.com/mlb/athletics-odds
823383,2026-05-14,Pittsburgh Pirates,Colorado Rockies,-181,145,https://fantasydata.com/mlb/colorado-rockies-odds
823630,2026-05-14,New York Mets,Detroit Tigers,-159,134,https://fantasydata.com/mlb/detroit-tigers-odds
823709,2026-05-14,Minnesota Twins,Miami Marlins,-106,-112,https://fantasydata.com/mlb/miami-marlins-odds
823789,2026-05-14,Milwaukee Brewers,San Diego Padres,-144,120,https://fantasydata.com/mlb/milwaukee-brewers-odds
823950,2026-05-14,Los Angeles Dodgers,San Francisco Giants,-173,145,https://fantasydata.com/mlb/los-angeles-dodgers-odds
824196,2026-05-14,Houston Astros,Seattle Mariners,-105,-114,https://fantasydata.com/mlb/houston-astros-odds
824517,2026-05-14,Cincinnati Reds,Washington Nationals,-152,129,https://fantasydata.com/mlb/cincinnati-reds-odds
824602,2026-05-14,Chicago White Sox,Kansas City Royals,115,-136,https://fantasydata.com/mlb/chicago-white-sox-odds
824762,2026-05-14,Boston Red Sox,Philadelphia Phillies,-117,-102,https://fantasydata.com/mlb/boston-red-sox-odds
824926,2026-05-14,Atlanta Braves,Chicago Cubs,-202,169,https://fantasydata.com/mlb/atlanta-braves-odds
825008,2026-05-14,Athletics,St. Louis Cardinals,-123,105,https://fantasydata.com/mlb/athletics-odds
822739,2026-05-15,Washington Nationals,Baltimore Orioles,116,-138,https://fantasydata.com/mlb/baltimore-orioles-odds
822983,2026-05-15,Tampa Bay Rays,Miami Marlins,-122,103,https://fantasydata.com/mlb/miami-marlins-odds
823061,2026-05-15,St. Louis Cardinals,Kansas City Royals,-107,-112,https://fantasydata.com/mlb/kansas-city-royals-odds
823140,2026-05-15,Seattle Mariners,San Diego Padres,-134,113,https://fantasydata.com/mlb/san-diego-padres-odds
823384,2026-05-15,Pittsburgh Pirates,Philadelphia Phillies,-133,113,https://fantasydata.com/mlb/philadelphia-phillies-odds
823629,2026-05-15,New York Mets,New York Yankees,129,-152,https://fantasydata.com/mlb/new-york-mets-odds
823707,2026-05-15,Minnesota Twins,Milwaukee Brewers,-106,-113,https://fantasydata.com/mlb/milwaukee-brewers-odds
824037,2026-05-15,Los Angeles Angels,Los Angeles Dodgers,159,-191,https://fantasydata.com/mlb/los-angeles-angels-odds
824194,2026-05-15,Houston Astros,Texas Rangers,-106,-112,https://fantasydata.com/mlb/houston-astros-odds
824280,2026-05-15,Detroit Tigers,Toronto Blue Jays,108,-127,https://fantasydata.com/mlb/detroit-tigers-odds
824360,2026-05-15,Colorado Rockies,Arizona Diamondbacks,101,-120,https://fantasydata.com/mlb/arizona-diamondbacks-odds
824439,2026-05-15,Cleveland Guardians,Cincinnati Reds,-137,115,https://fantasydata.com/mlb/cincinnati-reds-odds
