game_id,game_date,week,home_team,away_team,home_score,away_score,predicted_spread,home_win_probability,confidence,model_disagreement,home_win_prob_from_model,win_prob_from_spread,home_win,actual_margin,predicted_margin,predicted_home_win,correct_winner
2025_01_TEN_DEN,2025-09-07,1,DEN,TEN,20,12,-4.951684766569101,0.7205311673799623,0.4410623347599245,0.2278619861210338,0.5715513592789041,0.7994133453999379,1,8,4.951684766569101,1,True
2025_01_MIN_CHI,2025-09-08,1,CHI,MIN,24,27,-4.951684766569101,0.7205311673799623,0.4410623347599245,0.2278619861210338,0.5715513592789041,0.7994133453999379,0,-3,4.951684766569101,1,False
2025_02_WAS_GB,2025-09-11,2,GB,WAS,27,18,-1.3441056604102781,0.5004494516466325,0.0008989032932649188,0.1816724933562669,0.39285755251556187,0.5745300458718288,1,9,1.3441056604102781,1,True
2025_02_ATL_MIN,2025-09-14,2,MIN,ATL,6,22,-0.6383813025400801,0.4556742430056429,0.08865151398871418,0.1459723088671246,0.37617338162748365,0.5221456904946082,0,-16,0.6383813025400801,0,True
2025_02_BUF_NYJ,2025-09-14,2,NYJ,BUF,10,30,-5.077665556985386,0.7532853051448839,0.5065706102897678,0.10118722670898972,0.7042179693313289,0.8054051960403186,0,-20,5.077665556985386,1,False
2025_02_CAR_ARI,2025-09-14,2,ARI,CAR,27,22,-3.087668383161373,0.760868368440238,0.521736736880476,0.14382377040141292,0.838787057324037,0.6949632869226241,1,5,3.087668383161373,1,True
2025_02_CHI_DET,2025-09-14,2,DET,CHI,52,21,-2.540688565736594,0.5599214429145419,0.11984288582908387,0.3967563302251872,0.2623541952456515,0.6591105254708387,1,31,2.540688565736594,1,True
2025_02_CLE_BAL,2025-09-14,2,BAL,CLE,41,17,-3.521253328463774,0.6701056635560314,0.3402113271120628,0.10012176167668496,0.6216972240875345,0.7218189857642194,1,24,3.521253328463774,1,True
2025_02_DEN_IND,2025-09-14,2,IND,DEN,29,28,0.48848384154235513,0.4026989949517774,0.19460201009644518,0.06219177675590787,0.37577478362580075,0.4379665603817086,1,1,-0.48848384154235513,0,False
2025_02_JAX_CIN,2025-09-14,2,CIN,JAX,31,27,-1.972051335751436,0.5319699953829602,0.06393999076592038,0.3513599369985028,0.26845004263408306,0.6198099796325859,1,4,1.972051335751436,1,True
