current_pos,current_pos_display,player,pred_name,to_par,to_par_display,r1,r2,r3,r4,total_strokes,actual_sg_per_round,pre_sg_per_round,updated_sg_per_round,sim_win_pct,sim_top5_pct,sim_top10_pct,sim_top20_pct,pre_win_prob,pre_top5_pct,pre_top10_prob,pre_top20_prob,pre_rank,rank_change
118,T115,J.J. Spaun,J.J. Spaun,7.0,+7,77,0,,,77.0,-7.0,0.3584091271219561,-2.5849545237268265,0.0,0.0,0.024,0.23600000000000002,0.0033,2.34,0.1094121578382771,0.1888812471970843,46.0,-72.0
119,T115,Kaito Onishi,Kaito Onishi,7.0,+7,77,0,,,77.0,-7.0,-1.6435405210741278,-3.786124312644477,0.0,0.0,0.0,0.004,0.0,0.01,0.0087810278994658,0.0193286390855939,150.0,31.0
120,T115,Padraig Harrington,Padraig Harrington,7.0,+7,77,0,,,77.0,-7.0,-0.6514384815113973,-3.1908630889068386,0.0,0.0,0.0,0.062,0.0001,0.2249999999999999,0.0310508822108574,0.0621793541674271,142.0,22.0
121,T115,Si Woo Kim,Si Woo Kim,7.0,+7,77,0,,,77.0,-7.0,0.754002197352441,-2.3475986815885355,0.0,0.0,0.022000000000000002,0.32399999999999995,0.00715,4.54,0.1698549920703883,0.2792332836276225,31.0,-90.0
122,T115,Taylor Montgomery,Taylor Montgomery,7.0,+7,77,0,,,77.0,-7.0,-0.0355067420244523,-2.8213040452146716,0.0,0.0,0.002,0.136,0.00105,1.045,0.0675104489243318,0.1252475921526235,84.0,-38.0
123,T115,Taihei Sato,Taihei Sato,7.0,+7,75,44,,,119.0,-49.0,-0.0134744452099489,-19.608084667125972,0.0,0.0,0.0,0.0,0.00095,1.18,0.0730032034055327,0.1332016799593718,95.0,-28.0
124,T115,Adrien Saddier,Adrien Saddier,7.0,+7,72,71,,,143.0,-73.0,-0.1618954442104508,-29.297137266526274,0.0,0.0,0.0,0.0,0.00095,0.815,0.0589208374283028,0.1123131473356384,93.0,-31.0
125,T115,Bryan Lee,Bryan Lee,7.0,+7,73,70,,,143.0,-73.0,-0.0082647853235864,-29.204958871194155,0.0,0.0,0.0,0.0,0.00095,1.175,0.0723492577186789,0.1298473274958098,94.0,-31.0
126,T126,Alejandro Tosti,Alejandro Tosti,8.0,+8,78,0,,,78.0,-8.0,-1.6465720656429932,-4.187943239385796,0.0,0.0,0.0,0.002,0.0,0.005,0.0087519076297137,0.0190391681886409,147.0,21.0
127,T126,Brandon Wu,Brandon Wu,8.0,+8,78,0,,,78.0,-8.0,-0.7859540323947084,-3.671572419436825,0.0,0.0,0.0,0.002,5e-05,0.1699999999999999,0.0265155504489855,0.0539491376650579,143.0,16.0
128,T126,Mason Howell,Mason Howell,8.0,+8,78,0,,,78.0,-8.0,-2.1853885559104667,-4.5112331335462805,0.0,0.0,0.0,0.0,0.0,0.0,0.0044359155789689,0.0109579196619041,153.0,25.0
129,T126,Ryuichi Oiwa,Ryuichi Oiwa,8.0,+8,78,0,,,78.0,-8.0,-0.1871670391026388,-3.3123002234615835,0.0,0.0,0.0,0.012,0.0005,0.75,0.0571178472867315,0.1053524487233513,116.0,-13.0
130,T126,Marcelo Rozo,Marcelo Rozo,8.0,+8,74,46,,,120.0,-50.0,-1.5293593741266684,-20.917615624476,0.0,0.0,0.0,0.0,0.0,0.015,0.0100278057651477,0.0221695988381061,149.0,19.0
131,T126,Matt McCarty,Matt McCarty,8.0,+8,72,48,,,120.0,-50.0,0.2792359347899801,-19.83245843912601,0.0,0.0,0.0,0.0,0.0024,1.925,0.0997927386647951,0.1751867732753742,57.0,-74.0
132,T126,Nicolai Højgaard,Nicolai Højgaard,8.0,+8,74,54,,,128.0,-58.0,0.8024526666775974,-22.718528399993446,0.0,0.0,0.0,0.0,0.00755,4.995,0.1761481244801637,0.2807591178495443,28.0,-104.0
133,T126,Jake Knapp,Jake Knapp,8.0,+8,77,63,,,140.0,-70.0,0.911178288313915,-27.45329302701165,0.0,0.0,0.0,0.0,0.00935,6.115,0.199999565582658,0.3114177300395152,22.0,-111.0
134,T126,Kevin Roy,Kevin Roy,8.0,+8,72,69,,,141.0,-71.0,0.0400558024892516,-28.375966518506452,0.0,0.0,0.0,0.0,0.0013,1.235,0.0762511308960767,0.1438257867233722,76.0,-58.0
135,T135,Cooper Dossey,Cooper Dossey,9.0,+9,79,0,,,79.0,-9.0,-0.279174284464252,-3.7675045706785513,0.0,0.0,0.0,0.0,0.0004,0.6,0.0510244941175501,0.0963335852161518,118.0,-17.0
136,T135,Greyson Leach,Greyson Leach,9.0,+9,79,0,,,79.0,-9.0,-0.0038791444289682,-3.602327486657381,0.0,0.0,0.0,0.004,0.00115,1.145,0.0722571191025655,0.1338144522124947,81.0,-55.0
137,T135,Logan Reilly,Logan Reilly,9.0,+9,79,0,,,79.0,-9.0,-0.5364352071777534,-3.921861124306652,0.0,0.0,0.0,0.004,0.00025,0.365,0.0373720629192282,0.0731450550939693,133.0,-4.0
138,T135,Matthew Robles,Matthew Robles,9.0,+9,77,37,,,114.0,-44.0,-0.5613917068849299,-17.93683502413096,0.0,0.0,0.0,0.0,0.00015,0.395,0.0352706039606682,0.0685059539071022,138.0,0.0
