game_pk,game_date,home_team,away_team,home_moneyline,away_moneyline,source_url
823618,2026-06-10,New York Mets,St. Louis Cardinals,-135,114,https://fantasydata.com/mlb/new-york-mets-odds
823856,2026-06-10,Miami Marlins,Arizona Diamondbacks,-102,-117,https://fantasydata.com/mlb/arizona-diamondbacks-odds
824022,2026-06-10,Los Angeles Angels,Houston Astros,-124,105,https://fantasydata.com/mlb/houston-astros-odds
824103,2026-06-10,Kansas City Royals,Texas Rangers,-103,-116,https://fantasydata.com/mlb/kansas-city-royals-odds
824266,2026-06-10,Detroit Tigers,Minnesota Twins,-178,148,https://fantasydata.com/mlb/detroit-tigers-odds
824348,2026-06-10,Colorado Rockies,Chicago Cubs,150,-179,https://fantasydata.com/mlb/chicago-cubs-odds
824428,2026-06-10,Cleveland Guardians,New York Yankees,-119,-101,https://fantasydata.com/mlb/cleveland-guardians-odds
824590,2026-06-10,Chicago White Sox,Atlanta Braves,127,-152,https://fantasydata.com/mlb/atlanta-braves-odds
824831,2026-06-10,Baltimore Orioles,Seattle Mariners,-105,-113,https://fantasydata.com/mlb/baltimore-orioles-odds
824996,2026-06-10,Athletics,Milwaukee Brewers,-110,-108,https://fantasydata.com/mlb/athletics-odds
823371,2026-06-11,Pittsburgh Pirates,Los Angeles Dodgers,153,-184,https://fantasydata.com/mlb/los-angeles-dodgers-odds
823619,2026-06-11,New York Mets,St. Louis Cardinals,-149,126,https://fantasydata.com/mlb/new-york-mets-odds
823855,2026-06-11,Miami Marlins,Arizona Diamondbacks,-129,108,https://fantasydata.com/mlb/arizona-diamondbacks-odds
824101,2026-06-11,Kansas City Royals,Texas Rangers,-118,-102,https://fantasydata.com/mlb/kansas-city-royals-odds
824265,2026-06-11,Detroit Tigers,Minnesota Twins,-130,110,https://fantasydata.com/mlb/detroit-tigers-odds
824346,2026-06-11,Colorado Rockies,Chicago Cubs,132,-156,https://fantasydata.com/mlb/chicago-cubs-odds
824827,2026-06-11,Baltimore Orioles,Seattle Mariners,-105,-113,https://fantasydata.com/mlb/baltimore-orioles-odds
822726,2026-06-12,Washington Nationals,Seattle Mariners,124,-149,https://fantasydata.com/mlb/seattle-mariners-odds
822803,2026-06-12,Toronto Blue Jays,New York Yankees,-121,102,https://fantasydata.com/mlb/new-york-yankees-odds
823211,2026-06-12,San Francisco Giants,Chicago Cubs,-128,107,https://fantasydata.com/mlb/chicago-cubs-odds
823370,2026-06-12,Pittsburgh Pirates,Miami Marlins,-147,123,https://fantasydata.com/mlb/miami-marlins-odds
823617,2026-06-12,New York Mets,Atlanta Braves,-128,107,https://fantasydata.com/mlb/atlanta-braves-odds
823695,2026-06-12,Minnesota Twins,St. Louis Cardinals,-135,113,https://fantasydata.com/mlb/minnesota-twins-odds
823778,2026-06-12,Milwaukee Brewers,Philadelphia Phillies,-251,207,https://fantasydata.com/mlb/milwaukee-brewers-odds
824020,2026-06-12,Los Angeles Angels,Tampa Bay Rays,143,-171,https://fantasydata.com/mlb/los-angeles-angels-odds
824102,2026-06-12,Kansas City Royals,Houston Astros,-109,-109,https://fantasydata.com/mlb/houston-astros-odds
824425,2026-06-12,Cleveland Guardians,Detroit Tigers,-124,105,https://fantasydata.com/mlb/cleveland-guardians-odds
824507,2026-06-12,Cincinnati Reds,Arizona Diamondbacks,-115,-103,https://fantasydata.com/mlb/arizona-diamondbacks-odds
824588,2026-06-12,Chicago White Sox,Los Angeles Dodgers,133,-159,https://fantasydata.com/mlb/chicago-white-sox-odds
824752,2026-06-12,Boston Red Sox,Texas Rangers,-134,111,https://fantasydata.com/mlb/boston-red-sox-odds
824826,2026-06-12,Baltimore Orioles,San Diego Padres,-131,110,https://fantasydata.com/mlb/baltimore-orioles-odds
824997,2026-06-12,Athletics,Colorado Rockies,-227,189,https://fantasydata.com/mlb/athletics-odds
822725,2026-06-13,Washington Nationals,Seattle Mariners,-118,-101,https://fantasydata.com/mlb/seattle-mariners-odds
822802,2026-06-13,Toronto Blue Jays,New York Yankees,101,-119,https://fantasydata.com/mlb/new-york-yankees-odds
823213,2026-06-13,San Francisco Giants,Chicago Cubs,100,-118,https://fantasydata.com/mlb/chicago-cubs-odds
823369,2026-06-13,Pittsburgh Pirates,Miami Marlins,-115,-104,https://fantasydata.com/mlb/miami-marlins-odds
823616,2026-06-13,New York Mets,Atlanta Braves,-118,-101,https://fantasydata.com/mlb/atlanta-braves-odds
823694,2026-06-13,Minnesota Twins,St. Louis Cardinals,-107,-111,https://fantasydata.com/mlb/minnesota-twins-odds
823776,2026-06-13,Milwaukee Brewers,Philadelphia Phillies,-167,140,https://fantasydata.com/mlb/milwaukee-brewers-odds
824019,2026-06-13,Los Angeles Angels,Tampa Bay Rays,-101,-118,https://fantasydata.com/mlb/los-angeles-angels-odds
824100,2026-06-13,Kansas City Royals,Houston Astros,-130,110,https://fantasydata.com/mlb/houston-astros-odds
824426,2026-06-13,Cleveland Guardians,Detroit Tigers,118,-139,https://fantasydata.com/mlb/cleveland-guardians-odds
824508,2026-06-13,Cincinnati Reds,Arizona Diamondbacks,123,-147,https://fantasydata.com/mlb/arizona-diamondbacks-odds
824587,2026-06-13,Chicago White Sox,Los Angeles Dodgers,177,-211,https://fantasydata.com/mlb/chicago-white-sox-odds
824749,2026-06-13,Boston Red Sox,Texas Rangers,-123,105,https://fantasydata.com/mlb/boston-red-sox-odds
824828,2026-06-13,Baltimore Orioles,San Diego Padres,-122,103,https://fantasydata.com/mlb/baltimore-orioles-odds
824995,2026-06-13,Athletics,Colorado Rockies,-152,128,https://fantasydata.com/mlb/athletics-odds
822722,2026-06-14,Washington Nationals,Seattle Mariners,111,-132,https://fantasydata.com/mlb/seattle-mariners-odds
822801,2026-06-14,Toronto Blue Jays,New York Yankees,112,-133,https://fantasydata.com/mlb/new-york-yankees-odds
823212,2026-06-14,San Francisco Giants,Chicago Cubs,-135,114,https://fantasydata.com/mlb/chicago-cubs-odds
823368,2026-06-14,Pittsburgh Pirates,Miami Marlins,-160,134,https://fantasydata.com/mlb/miami-marlins-odds
823615,2026-06-14,New York Mets,Atlanta Braves,-127,108,https://fantasydata.com/mlb/atlanta-braves-odds
823693,2026-06-14,Minnesota Twins,St. Louis Cardinals,-112,-106,https://fantasydata.com/mlb/minnesota-twins-odds
823777,2026-06-14,Milwaukee Brewers,Philadelphia Phillies,111,-131,https://fantasydata.com/mlb/milwaukee-brewers-odds
824021,2026-06-14,Los Angeles Angels,Tampa Bay Rays,104,-123,https://fantasydata.com/mlb/los-angeles-angels-odds
824099,2026-06-14,Kansas City Royals,Houston Astros,-119,-101,https://fantasydata.com/mlb/houston-astros-odds
824506,2026-06-14,Cincinnati Reds,Arizona Diamondbacks,-105,-113,https://fantasydata.com/mlb/arizona-diamondbacks-odds
824586,2026-06-14,Chicago White Sox,Los Angeles Dodgers,166,-200,https://fantasydata.com/mlb/chicago-white-sox-odds
824751,2026-06-14,Boston Red Sox,Texas Rangers,-117,-101,https://fantasydata.com/mlb/boston-red-sox-odds
824823,2026-06-14,Baltimore Orioles,San Diego Padres,-139,116,https://fantasydata.com/mlb/baltimore-orioles-odds
824994,2026-06-14,Athletics,Colorado Rockies,-197,164,https://fantasydata.com/mlb/athletics-odds
822724,2026-06-15,Washington Nationals,Kansas City Royals,-137,115,https://fantasydata.com/mlb/kansas-city-royals-odds
822887,2026-06-15,Texas Rangers,Minnesota Twins,-153,128,https://fantasydata.com/mlb/minnesota-twins-odds
823046,2026-06-15,St. Louis Cardinals,San Diego Padres,-156,130,https://fantasydata.com/mlb/san-diego-padres-odds
823452,2026-06-15,Philadelphia Phillies,Miami Marlins,-202,169,https://fantasydata.com/mlb/miami-marlins-odds
823938,2026-06-15,Los Angeles Dodgers,Tampa Bay Rays,-185,153,https://fantasydata.com/mlb/los-angeles-dodgers-odds
824181,2026-06-15,Houston Astros,Detroit Tigers,-122,101,https://fantasydata.com/mlb/detroit-tigers-odds
824505,2026-06-15,Cincinnati Reds,New York Mets,-136,115,https://fantasydata.com/mlb/cincinnati-reds-odds
824666,2026-06-15,Chicago Cubs,Colorado Rockies,-231,191,https://fantasydata.com/mlb/chicago-cubs-odds
824993,2026-06-15,Athletics,Pittsburgh Pirates,-126,105,https://fantasydata.com/mlb/athletics-odds
825071,2026-06-15,Arizona Diamondbacks,Los Angeles Angels,-141,118,https://fantasydata.com/mlb/arizona-diamondbacks-odds
822723,2026-06-16,Washington Nationals,Kansas City Royals,-132,112,https://fantasydata.com/mlb/kansas-city-royals-odds
822888,2026-06-16,Texas Rangers,Minnesota Twins,-140,118,https://fantasydata.com/mlb/minnesota-twins-odds
823045,2026-06-16,St. Louis Cardinals,San Diego Padres,-114,-105,https://fantasydata.com/mlb/san-diego-padres-odds
823128,2026-06-16,Seattle Mariners,Baltimore Orioles,-154,129,https://fantasydata.com/mlb/baltimore-orioles-odds
823451,2026-06-16,Philadelphia Phillies,Miami Marlins,-174,145,https://fantasydata.com/mlb/miami-marlins-odds
823535,2026-06-16,New York Yankees,Chicago White Sox,-145,121,https://fantasydata.com/mlb/chicago-white-sox-odds
