game_pk,game_date,home_team,away_team,home_moneyline,away_moneyline,source
778419,2025-04-06,Minnesota Twins,Houston Astros,-114,-109,checkbestodds
778420,2025-04-06,Texas Rangers,Tampa Bay Rays,-115,-112,checkbestodds
778421,2025-04-06,Milwaukee Brewers,Cincinnati Reds,-154,123,checkbestodds
778422,2025-04-06,Kansas City Royals,Baltimore Orioles,-116,-109,checkbestodds
778423,2025-04-06,Colorado Rockies,Athletics,-130,105,checkbestodds
778425,2025-04-06,Los Angeles Angels,Cleveland Guardians,-111,-116,checkbestodds
778427,2025-04-06,San Francisco Giants,Seattle Mariners,-119,-106,checkbestodds
778428,2025-04-06,Pittsburgh Pirates,New York Yankees,131,-169,checkbestodds
778429,2025-04-06,Washington Nationals,Arizona Diamondbacks,154,-179,checkbestodds
778430,2025-04-06,Chicago Cubs,San Diego Padres,-154,116,checkbestodds
778432,2025-04-06,Boston Red Sox,St. Louis Cardinals,-137,106,checkbestodds
778433,2025-04-06,Detroit Tigers,Chicago White Sox,-179,138,checkbestodds
778434,2025-04-06,Philadelphia Phillies,Los Angeles Dodgers,-101,-130,checkbestodds
778435,2025-04-06,New York Mets,Toronto Blue Jays,-152,114,checkbestodds
778443,2025-04-06,Boston Red Sox,St. Louis Cardinals,-137,106,checkbestodds
778405,2025-04-07,Seattle Mariners,Houston Astros,-167,129,checkbestodds
778410,2025-04-07,San Francisco Giants,Cincinnati Reds,-179,139,checkbestodds
778411,2025-04-07,Chicago Cubs,Texas Rangers,-128,101,checkbestodds
778412,2025-04-07,Kansas City Royals,Minnesota Twins,-123,-105,checkbestodds
778413,2025-04-07,Arizona Diamondbacks,Baltimore Orioles,-130,105,checkbestodds
778414,2025-04-07,Athletics,San Diego Padres,121,-152,checkbestodds
778415,2025-04-07,Pittsburgh Pirates,St. Louis Cardinals,-110,-118,checkbestodds
778416,2025-04-07,New York Mets,Miami Marlins,-294,212,checkbestodds
778418,2025-04-07,Washington Nationals,Los Angeles Dodgers,142,-185,checkbestodds
778424,2025-04-07,Detroit Tigers,New York Yankees,121,-161,checkbestodds
778426,2025-04-07,Boston Red Sox,Toronto Blue Jays,-132,101,checkbestodds
778394,2025-04-08,Colorado Rockies,Milwaukee Brewers,131,-169,checkbestodds
778395,2025-04-08,Athletics,San Diego Padres,105,-128,checkbestodds
778396,2025-04-08,Arizona Diamondbacks,Baltimore Orioles,-108,-118,checkbestodds
778397,2025-04-08,San Francisco Giants,Cincinnati Reds,-139,112,checkbestodds
778398,2025-04-08,Seattle Mariners,Houston Astros,-135,112,checkbestodds
778400,2025-04-08,Kansas City Royals,Minnesota Twins,-128,101,checkbestodds
778401,2025-04-08,Chicago Cubs,Texas Rangers,-172,138,checkbestodds
778402,2025-04-08,Cleveland Guardians,Chicago White Sox,-200,163,checkbestodds
778403,2025-04-08,Detroit Tigers,New York Yankees,-172,141,checkbestodds
778404,2025-04-08,Boston Red Sox,Toronto Blue Jays,-238,178,checkbestodds
778406,2025-04-08,Atlanta Braves,Philadelphia Phillies,-118,-105,checkbestodds
