current_pos,current_pos_display,player,pred_name,to_par,to_par_display,r1,r2,total_strokes,actual_sg_per_round,pre_sg_per_round,updated_sg_per_round,sim_win_pct,sim_top5_pct,sim_top10_pct,sim_top20_pct,pre_win_prob,pre_top5_pct,pre_top10_prob,pre_top20_prob,pre_rank,rank_change
11,T7,Tyrrell Hatton,Tyrrell Hatton,-4.0,-4,74,66,140,2.0,0.8068074200008547,1.2840844520005128,0.514,23.904,52.018,84.866,0.0263850550246714,13.332,0.4186418236894962,0.6855125746856443,16.0,5.0
12,T7,Wyndham Clark,Wyndham Clark,-4.0,-4,72,68,140,2.0,0.1212268317604055,0.8727360990562434,0.29,16.732,42.24,79.106,0.0078452468854779,1.92,0.1025992049234067,0.2359437023035523,46.0,34.0
13,T13,Ben Griffin,Ben Griffin,-3.0,-3,72,69,141,1.5,0.0,0.6000000000000001,0.108,8.308,26.163999999999998,64.25999999999999,,,,,,
14,T13,Brooks Koepka,Brooks Koepka,-3.0,-3,72,69,141,1.5,1.2362088986323403,1.3417253391794044,0.27599999999999997,16.944,41.832,78.622,0.0273400306422148,21.86,0.3594748308749682,0.5770933590599168,15.0,1.0
15,T13,Chris Gotterup,Chris Gotterup,-3.0,-3,72,69,141,1.5,0.0,0.6000000000000001,0.076,8.506,26.442,64.776,,,,,,
16,T16,Hideki Matsuyama,Hideki Matsuyama,-2.0,-2,72,70,142,1.0,1.0556121500663034,1.0333672900397821,0.066,7.766000000000001,25.224000000000004,63.102000000000004,0.0214019760385544,10.932,0.2706707556690419,0.5010004297034831,21.0,5.0
17,T16,Jake Knapp,Jake Knapp,-2.0,-2,73,69,142,1.0,0.0,0.4,0.026,3.73,15.187999999999999,48.782,,,,,,
18,T16,Max Homa,Max Homa,-2.0,-2,72,70,142,1.0,-0.1270240741583693,0.32378555550497845,0.027999999999999997,3.5860000000000003,14.11,46.946,0.0048975586837964,2.912,0.0830901051421945,0.2006228149430624,61.0,43.0
19,T16,Xander Schauffele,Xander Schauffele,-2.0,-2,70,72,142,1.0,1.279314746242736,1.1675888477456415,0.104,8.856,27.811999999999998,65.766,0.0655601807869259,20.462,0.342148097736189,0.6376269901590488,3.0,-16.0
20,T20,Collin Morikawa,Collin Morikawa,-1.0,-1,74,69,143,0.5,0.8176900651580042,0.6906140390948026,0.018000000000000002,2.888,12.554000000000002,44.044,0.0235426694653322,11.61,0.2927867845915743,0.4570772040894655,17.0,-3.0
21,T20,Matt Fitzpatrick,Matt Fitzpatrick,-1.0,-1,74,69,143,0.5,1.0734655716868826,0.8440793430121296,0.034,3.38,14.277999999999999,47.516000000000005,0.0334036461688772,9.298,0.2951975471058224,0.5544552359535566,10.0,-11.0
22,T20,Michael Brennan,Michael Brennan,-1.0,-1,72,71,143,0.5,0.0,0.2,0.01,1.5939999999999999,7.664,33.012,,,,,,
23,T20,Nick Taylor,Nick Taylor,-1.0,-1,71,72,143,0.5,0.0152255408409045,0.2091353245045427,0.01,1.592,7.997999999999999,33.742,0.0050356928896531,2.734,0.0853398301626171,0.2026508691034942,59.0,36.0
