Id,year,date,name,course,City,State,Lat,Long,Course Par,Winning Score,CutLine,day0,day0low,day0high,day0avg,day0precip,day0wind,day1,day1low,day1high,day1avg,day1precip,day1wind,day2,day2low,day2high,day2avg,day2precip,day2wind
242022,2022,Mar 17 - 20,Valspar Championship,"Innisbrook Resort (Copperhead Course) - Palm Harbor, FL. ",Palm Harbor,FL,28.09,-82.76,71,-17,-3,3/16/2022,64.4,73.4,68.72,1.122047244,9.3231,3/17/2022,59,75.2,67.1,0,8.1721,3/18/2022,60.8,82.4,71.78,0,12.7761
252009,2009,Jun 11 - 14,St. Jude Classic presented by FedEx,"TPC Southwind - Memphis, TN. ",Memphis,TN,35.15,-90.05,70,-18,0,6/10/2009,75.92,89.06,82.04,0,14.0422,6/11/2009,69.98,84.92,77.72,0.12992126,16.114,6/12/2009,66.02,89.06,77.36,0.338582677,8.7476
252010,2010,Jun 10 - 13,St. Jude Classic presented by Smith & Nephew,"TPC Southwind - Memphis, TN. ",Memphis,TN,35.15,-90.05,70,-10,1,6/9/2010,73.04,91.94,82.76,0.169291339,15.7687,6/10/2010,73.04,89.96,80.42,0,12.4308,6/11/2010,78.08,89.96,82.4,0,19.4519
252014,2014,Apr 24 - 27,Zurich Classic of New Orleans,"TPC Louisiana - Avondale, LA. ",Avondale,LA,47.42,-53.19,72,-19,-2,4/23/2014,30.2,41,35.6,0,0,4/24/2014,31.1,37.4,34.34,0.354330709,0,4/25/2014,32,42.8,37.4,0.137795276,0
252016,2016,Apr 21 - 24,Valero Texas Open,"TPC San Antonio (Oaks Course) - San Antonio, TX. ",San Antonio,TX,29.42,-98.5,72,-12,0,4/20/2016,66.92,80.42,72.86,0,14.1573,4/21/2016,62.24,82.76,72.5,0.5,11.1647,4/22/2016,61.7,83.12,72.68,0,8.1721
252017,2017,Apr 20 - 23,Valero Texas Open,"TPC San Antonio (Oaks Course) - San Antonio, TX. ",San Antonio,TX,29.42,-98.5,72,-12,0,4/19/2017,68,84.74,74.48,0,13.812,4/20/2017,69.44,87.08,76.64,0,18.7613,4/21/2017,71.96,87.98,78.8,0,19.2217
252021,2021,Mar 4 - 7,Arnold Palmer Invitational Pres. By Mastercard,"Arnold Palmer's Bay Hill Club & Lodge - Orlando, FL. ",Orlando,FL,28.54,-81.38,72,-11,2,3/3/2021,60.08,75.02,69.26,0.38976378,20.9482,3/4/2021,55.94,75.02,63.5,0,13.3516,3/5/2021,53.96,78.98,65.48,0,9.0929
262009,2009,Jun 18 - 22,U.S. Open Championship,"Farmingdale, NY",Farmingdale,NY,40.73,-73.45,70,-4,4,6/17/2009,50,64.94,59,0,10.0137,6/18/2009,60.98,62.96,62.42,2.251968504,21.9841,6/19/2009,62.06,78.08,69.44,0,9.208
262013,2013,Jun 20 - 23,Travelers Championship,"TPC River Highlands - Cromwell, CT. ",Cromwell,CT,41.62,-72.66,70,-12,0,6/19/2013,57.02,75.92,65.84,0,11.8553,6/20/2013,51.98,80.06,66.02,0,6.7909,6/21/2013,60.08,82.94,71.24,0,11.51
262014,2014,May 1 - 4,Wells Fargo Championship,"Quail Hollow Club - Charlotte, NC. ",Charlotte,NC,35.23,-80.84,72,-14,1,4/30/2014,59,77,66.92,0.901574803,17.3801,5/1/2014,53.06,78.08,70.52,0,18.1858,5/2/2014,46.94,69.08,59.18,0,8.2872
262019,2019,Apr 4 - 7,Valero Texas Open,"TPC San Antonio (Oaks Course) - San Antonio, TX. ",San Antonio,TX,29.42,-98.5,72,-20,-1,4/3/2019,57.74,67.1,62.6,0,16.4593,4/4/2019,65.66,85.82,73.04,0,10.5892,4/5/2019,60.98,82.94,72.32,0,9.4382
262021,2021,Mar 11 - 14,THE PLAYERS Championship,"TPC Sawgrass (THE PLAYERS Stadium Course) - Ponte Vedra Beach, FL. ",Ponte Vedra Beach,FL,30.24,-81.39,72,-14,0,3/10/2021,48.02,71.96,59.72,0,10.8194,3/11/2021,50,75.92,62.96,0,9.0929,3/12/2021,51.98,77,64.4,0,6.2154
272009,2009,Jun 25 - 28,Travelers Championship,"TPC River Highlands - Cromwell, CT. ",Cromwell,CT,41.62,-72.66,70,-22,-3,6/24/2009,66.92,73.04,69.44,0,11.51,6/25/2009,64.04,80.96,71.78,0,4.9493,6/26/2009,64.04,78.98,68.9,0,8.5174
272013,2013,Jun 27 - 30,AT&T National,"Congressional Country Club - Bethesda, MD. ",Bethesda,MD,38.98,-77.12,71,-12,3,6/26/2013,73.04,91.04,81.68,0.011811024,12.8912,6/27/2013,71.96,84.02,76.46,0.228346457,14.5026,6/28/2013,69.08,89.06,78.08,2.858267717,14.963
272014,2014,May 8 - 11,THE PLAYERS Championship,"TPC Sawgrass (THE PLAYERS Stadium Course) - Ponte Vedra Beach, FL. ",Ponte Vedra Beach,FL,30.24,-81.39,72,-13,0,5/7/2014,62.96,89.96,76.46,0,11.9704,5/8/2014,69.98,89.06,78.8,0,16.114,5/9/2014,69.98,91.04,79.34,0,17.0348
272015,2015,May 7 - 10,THE PLAYERS Championship,"TPC Sawgrass (THE PLAYERS Stadium Course) - Ponte Vedra Beach, FL. ",Ponte Vedra Beach,FL,30.24,-81.39,72,-12,0,5/6/2015,66.02,77,72.68,0.039370079,18.1858,5/7/2015,62.06,86,71.78,0.078740157,17.8405,5/8/2015,66.02,86,73.94,0,12.4308
272016,2016,May 5 - 8,Wells Fargo Championship,"Quail Hollow Club - Charlotte, NC. ",Charlotte,NC,35.23,-80.84,72,-9,1,5/4/2016,55.04,73.94,65.48,0,5.4097,5/5/2016,46.94,66.02,58.28,0.188976378,16.114,5/6/2016,46.94,69.08,55.94,0.051181102,14.963
272017,2017,May 4 - 7,Wells Fargo Championship,"Eagle Point Golf Club - Wilmington, NC. ",Wilmington,NC,34.23,-77.94,72,-10,1,5/3/2017,55.94,84.02,69.44,0,7.8268,5/4/2017,59,80.96,69.98,0.24015748,21.5237,5/5/2017,57.02,77,70.7,1.299212598,26.9334
272019,2019,Apr 11 - 14,2019 Masters Tournament,"Augusta, GA",Augusta,GA,33.47,-81.97,72,-13,3,4/10/2019,64.04,84.02,73.76,0,9.0929,4/11/2019,60.98,84.92,71.96,0,14.1573,4/12/2019,69.08,82.94,73.58,0.220472441,12.661
272021,2021,Mar 18 - 21,The Honda Classic,"PGA National Resort & Spa (The Champion) - Palm Beach Gardens, FL. ",Palm Beach Gardens,FL,26.82,-80.14,70,-12,1,3/17/2021,57.2,87.8,72.68,0,13.5818,3/18/2021,62.6,89.6,76.28,0.023622047,16.2291,3/19/2021,69.8,84.2,75.74,0.015748031,17.1499
272022,2022,Mar 31 - Apr 3,Valero Texas Open,"TPC San Antonio (Oaks Course) - San Antonio, TX. ",San Antonio,TX,29.42,-98.5,72,-13,-1,3/30/2022,62.6,82.94,73.22,0.066929134,24.2861,3/31/2022,47.84,80.6,65.3,0,12.2006,2022-3-32,51.08,83.84,68.18,0,19.3368
282009,2009,Jul 2 - 5,AT&T National,"Congressional Country Club - Bethesda, MD. ",Bethesda,MD,38.98,-77.12,70,-13,2,7/1/2009,66.92,84.02,75.2,0.039370079,8.7476,7/2/2009,66.02,80.06,72.86,0.059055118,14.0422,7/3/2009,64.04,78.08,71.24,0.019685039,13.6969
